t,usb0,mac,carrier,host_txp,host_rxp,ping15,ping82,http22,status8080
14:43:53,1,36:f7:e9:0c:86:ad,1,1350,144,N,N,N,N
14:43:57,1,36:f7:e9:0c:86:ad,1,1356,144,N,N,N,N
14:44:01,1,36:f7:e9:0c:86:ad,1,1362,144,N,N,N,N
14:44:05,1,36:f7:e9:0c:86:ad,1,1368,144,N,N,N,N
14:44:10,1,36:f7:e9:0c:86:ad,1,1374,144,N,N,N,N
14:44:14,1,36:f7:e9:0c:86:ad,1,1380,144,N,N,N,N
14:44:18,1,36:f7:e9:0c:86:ad,1,1386,144,N,N,N,N
14:44:22,1,36:f7:e9:0c:86:ad,1,1392,144,N,N,N,N
14:44:26,1,36:f7:e9:0c:86:ad,1,1398,144,N,N,N,N
14:44:30,1,36:f7:e9:0c:86:ad,1,1404,144,N,N,N,N
14:44:34,1,36:f7:e9:0c:86:ad,1,1410,144,N,N,N,N
14:44:38,1,36:f7:e9:0c:86:ad,1,1416,144,N,N,N,N
14:44:42,1,36:f7:e9:0c:86:ad,1,1422,144,N,N,N,N
14:44:46,1,36:f7:e9:0c:86:ad,1,1428,144,N,N,N,N
14:44:50,1,36:f7:e9:0c:86:ad,1,1434,144,N,N,N,N
14:44:54,1,36:f7:e9:0c:86:ad,1,1440,144,N,N,N,N
14:44:58,1,36:f7:e9:0c:86:ad,1,1446,144,N,N,N,N
14:45:02,1,36:f7:e9:0c:86:ad,1,1452,144,N,N,N,N
14:45:06,1,36:f7:e9:0c:86:ad,1,1458,144,N,N,N,N
14:45:10,1,36:f7:e9:0c:86:ad,1,1464,144,N,N,N,N
14:45:14,1,36:f7:e9:0c:86:ad,1,1470,144,N,N,N,N
14:45:18,1,36:f7:e9:0c:86:ad,1,1476,144,N,N,N,N
14:45:22,1,36:f7:e9:0c:86:ad,1,1482,144,N,N,N,N
14:45:26,1,36:f7:e9:0c:86:ad,1,1488,144,N,N,N,N
14:45:30,1,36:f7:e9:0c:86:ad,1,1494,144,N,N,N,N
14:45:34,1,36:f7:e9:0c:86:ad,1,1500,144,N,N,N,N
14:45:38,1,36:f7:e9:0c:86:ad,1,1506,144,N,N,N,N
14:45:42,1,36:f7:e9:0c:86:ad,1,1512,144,N,N,N,N
14:45:47,1,36:f7:e9:0c:86:ad,1,1518,144,N,N,N,N
14:45:51,1,36:f7:e9:0c:86:ad,1,1524,144,N,N,N,N
14:45:55,1,36:f7:e9:0c:86:ad,1,1530,144,N,N,N,N
14:45:59,1,36:f7:e9:0c:86:ad,1,1536,144,N,N,N,N
14:46:03,1,36:f7:e9:0c:86:ad,1,1542,144,N,N,N,N
14:46:07,1,36:f7:e9:0c:86:ad,1,1549,144,N,N,N,N
14:46:11,1,36:f7:e9:0c:86:ad,1,1554,144,N,N,N,N
14:46:15,1,36:f7:e9:0c:86:ad,1,1561,144,N,N,N,N
14:46:19,1,36:f7:e9:0c:86:ad,1,1567,144,N,N,N,N
14:46:23,1,36:f7:e9:0c:86:ad,1,1574,144,N,N,N,N
14:46:27,1,36:f7:e9:0c:86:ad,1,1579,144,N,N,N,N
14:46:31,1,36:f7:e9:0c:86:ad,1,1586,144,N,N,N,N
14:46:35,1,36:f7:e9:0c:86:ad,1,1591,144,N,N,N,N
14:46:39,1,36:f7:e9:0c:86:ad,1,1598,144,N,N,N,N
14:46:43,1,36:f7:e9:0c:86:ad,1,1603,144,N,N,N,N
14:46:47,1,36:f7:e9:0c:86:ad,1,1610,144,N,N,N,N
14:46:51,1,36:f7:e9:0c:86:ad,1,1615,144,N,N,N,N
14:46:55,1,36:f7:e9:0c:86:ad,1,1622,144,N,N,N,N
14:46:59,1,36:f7:e9:0c:86:ad,1,1627,144,N,N,N,N
14:47:03,1,36:f7:e9:0c:86:ad,1,1634,144,N,N,N,N
14:47:07,1,36:f7:e9:0c:86:ad,1,1639,144,N,N,N,N
14:47:11,1,36:f7:e9:0c:86:ad,1,1646,144,N,N,N,N
14:47:15,1,36:f7:e9:0c:86:ad,1,1651,144,N,N,N,N
14:47:19,1,36:f7:e9:0c:86:ad,1,1658,144,N,N,N,N
14:47:23,1,36:f7:e9:0c:86:ad,1,1663,144,N,N,N,N
14:47:28,1,36:f7:e9:0c:86:ad,1,1670,144,N,N,N,N
14:47:32,1,36:f7:e9:0c:86:ad,1,1675,144,N,N,N,N
14:47:36,1,36:f7:e9:0c:86:ad,1,1682,144,N,N,N,N
14:47:40,1,36:f7:e9:0c:86:ad,1,1687,144,N,N,N,N
14:47:44,1,36:f7:e9:0c:86:ad,1,1694,144,N,N,N,N
14:47:48,1,36:f7:e9:0c:86:ad,1,1701,144,N,N,N,N
14:47:52,1,36:f7:e9:0c:86:ad,1,1706,144,N,N,N,N
14:47:56,1,36:f7:e9:0c:86:ad,1,1711,144,N,N,N,N
14:48:00,1,36:f7:e9:0c:86:ad,1,1718,144,N,N,N,N
14:48:04,1,36:f7:e9:0c:86:ad,1,1723,144,N,N,N,N
14:48:08,1,36:f7:e9:0c:86:ad,1,1730,144,N,N,N,N
14:48:12,1,36:f7:e9:0c:86:ad,1,1735,144,N,N,N,N
14:48:16,1,36:f7:e9:0c:86:ad,1,1742,145,N,N,N,N
14:48:20,1,36:f7:e9:0c:86:ad,1,1747,145,N,N,N,N
14:48:24,1,36:f7:e9:0c:86:ad,1,1754,145,N,N,N,N
14:48:28,1,36:f7:e9:0c:86:ad,1,1759,145,N,N,N,N
14:48:32,1,36:f7:e9:0c:86:ad,1,1766,145,N,N,N,N
14:48:36,1,36:f7:e9:0c:86:ad,1,1771,145,N,N,N,N
14:48:40,1,36:f7:e9:0c:86:ad,1,1778,145,N,N,N,N
14:48:44,1,36:f7:e9:0c:86:ad,1,1783,145,N,N,N,N
14:48:48,1,36:f7:e9:0c:86:ad,1,1790,145,N,N,N,N
14:48:53,1,36:f7:e9:0c:86:ad,1,1795,145,N,N,N,N
14:48:57,1,36:f7:e9:0c:86:ad,1,1802,145,N,N,N,N
14:49:01,1,36:f7:e9:0c:86:ad,1,1807,145,N,N,N,N
14:49:05,1,36:f7:e9:0c:86:ad,1,1814,145,N,N,N,N
14:49:09,1,36:f7:e9:0c:86:ad,1,1819,145,N,N,N,N
14:49:13,1,36:f7:e9:0c:86:ad,1,1826,145,N,N,N,N
14:49:17,1,36:f7:e9:0c:86:ad,1,1831,145,N,N,N,N
14:49:21,1,36:f7:e9:0c:86:ad,1,1838,145,N,N,N,N
14:49:25,1,36:f7:e9:0c:86:ad,1,1843,145,N,N,N,N
14:49:29,1,36:f7:e9:0c:86:ad,1,1850,145,N,N,N,N
14:49:33,1,36:f7:e9:0c:86:ad,1,1855,145,N,N,N,N
14:49:37,1,36:f7:e9:0c:86:ad,1,1862,145,N,N,N,N
14:49:41,1,36:f7:e9:0c:86:ad,1,1867,145,N,N,N,N
14:49:45,1,36:f7:e9:0c:86:ad,1,1874,145,N,N,N,N
14:49:49,1,36:f7:e9:0c:86:ad,1,1879,145,N,N,N,N
14:49:53,1,36:f7:e9:0c:86:ad,1,1886,145,N,N,N,N
14:49:57,1,36:f7:e9:0c:86:ad,1,1891,145,N,N,N,N
14:50:01,1,36:f7:e9:0c:86:ad,1,1897,145,N,N,N,N
14:50:05,1,36:f7:e9:0c:86:ad,1,1903,145,N,N,N,N
14:50:09,1,36:f7:e9:0c:86:ad,1,1909,145,N,N,N,N
14:50:13,1,36:f7:e9:0c:86:ad,1,1915,145,N,N,N,N
14:50:17,1,36:f7:e9:0c:86:ad,1,1921,145,N,N,N,N
14:50:21,1,36:f7:e9:0c:86:ad,1,1927,145,N,N,N,N
14:50:25,1,36:f7:e9:0c:86:ad,1,1933,145,N,N,N,N
14:50:29,1,36:f7:e9:0c:86:ad,1,1940,145,N,N,N,N
14:50:33,1,36:f7:e9:0c:86:ad,1,1945,145,N,N,N,N
14:50:38,1,36:f7:e9:0c:86:ad,1,1952,145,N,N,N,N
14:50:42,1,36:f7:e9:0c:86:ad,1,1957,145,N,N,N,N
14:50:46,1,36:f7:e9:0c:86:ad,1,1964,145,N,N,N,N
14:50:50,1,36:f7:e9:0c:86:ad,1,1969,145,N,N,N,N
14:50:54,1,36:f7:e9:0c:86:ad,1,1976,145,N,N,N,N
14:50:58,1,36:f7:e9:0c:86:ad,1,1981,145,N,N,N,N
14:51:02,1,36:f7:e9:0c:86:ad,1,1988,145,N,N,N,N
14:51:06,1,36:f7:e9:0c:86:ad,1,1993,145,N,N,N,N
14:51:10,1,36:f7:e9:0c:86:ad,1,2000,145,N,N,N,N
14:51:14,1,36:f7:e9:0c:86:ad,1,2005,145,N,N,N,N
14:51:18,1,36:f7:e9:0c:86:ad,1,2012,145,N,N,N,N
14:51:22,1,36:f7:e9:0c:86:ad,1,2017,145,N,N,N,N
14:51:26,1,36:f7:e9:0c:86:ad,1,2024,145,N,N,N,N
14:51:30,1,36:f7:e9:0c:86:ad,1,2029,145,N,N,N,N
14:51:34,1,36:f7:e9:0c:86:ad,1,2036,145,N,N,N,N
14:51:38,1,36:f7:e9:0c:86:ad,1,2041,145,N,N,N,N
14:51:42,1,36:f7:e9:0c:86:ad,1,2048,145,N,N,N,N
14:51:46,1,36:f7:e9:0c:86:ad,1,2053,145,N,N,N,N
14:51:50,1,36:f7:e9:0c:86:ad,1,2060,145,N,N,N,N
14:51:54,1,36:f7:e9:0c:86:ad,1,2065,145,N,N,N,N
14:51:58,1,36:f7:e9:0c:86:ad,1,2072,145,N,N,N,N
14:52:02,1,36:f7:e9:0c:86:ad,1,2077,145,N,N,N,N
14:52:06,1,36:f7:e9:0c:86:ad,1,2084,145,N,N,N,N
14:52:11,1,36:f7:e9:0c:86:ad,1,2089,145,N,N,N,N
14:52:15,1,36:f7:e9:0c:86:ad,1,2096,145,N,N,N,N
14:52:19,1,36:f7:e9:0c:86:ad,1,2101,145,N,N,N,N
14:52:23,1,36:f7:e9:0c:86:ad,1,2108,145,N,N,N,N
14:52:27,1,36:f7:e9:0c:86:ad,1,2113,145,N,N,N,N
14:52:31,1,36:f7:e9:0c:86:ad,1,2120,145,N,N,N,N
14:52:35,1,36:f7:e9:0c:86:ad,1,2125,145,N,N,N,N
14:52:39,1,36:f7:e9:0c:86:ad,1,2132,145,N,N,N,N
14:52:43,1,36:f7:e9:0c:86:ad,1,2137,145,N,N,N,N
14:52:47,1,36:f7:e9:0c:86:ad,1,2144,145,N,N,N,N
14:52:51,1,36:f7:e9:0c:86:ad,1,2149,145,N,N,N,N
14:52:55,1,36:f7:e9:0c:86:ad,1,2156,145,N,N,N,N
14:52:59,1,36:f7:e9:0c:86:ad,1,2161,145,N,N,N,N
14:53:03,1,36:f7:e9:0c:86:ad,1,2168,145,N,N,N,N
14:53:07,1,36:f7:e9:0c:86:ad,1,2173,145,N,N,N,N
14:53:11,1,36:f7:e9:0c:86:ad,1,2180,145,N,N,N,N
14:53:15,1,36:f7:e9:0c:86:ad,1,2185,145,N,N,N,N
14:53:19,1,36:f7:e9:0c:86:ad,1,2192,145,N,N,N,N
